epoch,split,class_index,class_name,precision,recall,f1,support
5,val,31,Tomato___Leaf_Mold,0.928571,0.909091,0.918728,143
5,val,32,Tomato___Septoria_leaf_spot,0.936508,0.887218,0.911197,266
5,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.762346,0.984064,0.859130,251
5,val,34,Tomato___Target_Spot,0.826923,0.815166,0.821002,211
5,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.998715,0.966418,0.982301,804
5,val,36,Tomato___Tomato_mosaic_virus,0.964286,0.964286,0.964286,56
5,val,37,Tomato___healthy,0.921260,0.983193,0.951220,238
6,val,0,Apple___Apple_scab,0.968085,0.957895,0.962963,95
6,val,1,Apple___Black_rot,0.978947,1.000000,0.989362,93
6,val,2,Apple___Cedar_apple_rust,1.000000,1.000000,1.000000,41
6,val,3,Apple___healthy,0.987805,0.987805,0.987805,246
6,val,4,Blueberry___healthy,1.000000,1.000000,1.000000,225
6,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.974684,0.987179,158
6,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
6,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.921875,0.766234,0.836879,77
6,val,8,Corn_(maize)___Common_rust_,1.000000,1.000000,1.000000,179
6,val,9,Corn_(maize)___Northern_Leaf_Blight,0.887500,0.959459,0.922078,148
6,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
6,val,11,Grape___Black_rot,0.983333,1.000000,0.991597,177
6,val,12,Grape___Esca_(Black_Measles),1.000000,0.985577,0.992736,208
6,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
6,val,14,Grape___healthy,1.000000,1.000000,1.000000,64
6,val,15,Orange___Haunglongbing_(Citrus_greening),0.998791,1.000000,0.999395,826
6,val,16,Peach___Bacterial_spot,0.991329,0.997093,0.994203,344
6,val,17,Peach___healthy,1.000000,0.981481,0.990654,54
6,val,18,"Pepper,_bell___Bacterial_spot",0.993007,0.953020,0.972603,149
6,val,19,"Pepper,_bell___healthy",0.973684,1.000000,0.986667,222
6,val,20,Potato___Early_blight,0.986667,0.986667,0.986667,150
6,val,21,Potato___Late_blight,0.965517,0.933333,0.949153,150
6,val,22,Potato___healthy,0.950000,0.826087,0.883721,23
6,val,23,Raspberry___healthy,1.000000,1.000000,1.000000,56
6,val,24,Soybean___healthy,0.997386,1.000000,0.998691,763
6,val,25,Squash___Powdery_mildew,1.000000,1.000000,1.000000,275
6,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
6,val,27,Strawberry___healthy,1.000000,1.000000,1.000000,68
6,val,28,Tomato___Bacterial_spot,0.937870,0.993730,0.964992,319
6,val,29,Tomato___Early_blight,0.934783,0.860000,0.895833,150
6,val,30,Tomato___Late_blight,0.964664,0.957895,0.961268,285
6,val,31,Tomato___Leaf_Mold,0.971223,0.944056,0.957447,143
6,val,32,Tomato___Septoria_leaf_spot,0.971429,0.894737,0.931507,266
6,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.836120,0.996016,0.909091,251
6,val,34,Tomato___Target_Spot,0.932990,0.857820,0.893827,211
6,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.000000,0.977612,0.988679,804
6,val,36,Tomato___Tomato_mosaic_virus,0.965517,1.000000,0.982456,56
6,val,37,Tomato___healthy,0.944000,0.991597,0.967213,238
7,val,0,Apple___Apple_scab,0.989011,0.947368,0.967742,95
7,val,1,Apple___Black_rot,0.989247,0.989247,0.989247,93
7,val,2,Apple___Cedar_apple_rust,1.000000,1.000000,1.000000,41
7,val,3,Apple___healthy,0.987952,1.000000,0.993939,246
7,val,4,Blueberry___healthy,1.000000,1.000000,1.000000,225
7,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.987342,0.993631,158
7,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
7,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.900000,0.818182,0.857143,77
7,val,8,Corn_(maize)___Common_rust_,1.000000,1.000000,1.000000,179
7,val,9,Corn_(maize)___Northern_Leaf_Blight,0.909091,0.945946,0.927152,148
7,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
7,val,11,Grape___Black_rot,1.000000,0.994350,0.997167,177
7,val,12,Grape___Esca_(Black_Measles),0.995215,1.000000,0.997602,208
7,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
7,val,14,Grape___healthy,1.000000,1.000000,1.000000,64
7,val,15,Orange___Haunglongbing_(Citrus_greening),1.000000,1.000000,1.000000,826
7,val,16,Peach___Bacterial_spot,0.991354,1.000000,0.995658,344
7,val,17,Peach___healthy,1.000000,0.981481,0.990654,54
7,val,18,"Pepper,_bell___Bacterial_spot",0.966887,0.979866,0.973333,149
7,val,19,"Pepper,_bell___healthy",0.991071,1.000000,0.995516,222
7,val,20,Potato___Early_blight,0.986577,0.980000,0.983278,150
7,val,21,Potato___Late_blight,0.953642,0.960000,0.956811,150
7,val,22,Potato___healthy,0.950000,0.826087,0.883721,23
7,val,23,Raspberry___healthy,1.000000,0.982143,0.990991,56
7,val,24,Soybean___healthy,0.997386,1.000000,0.998691,763
7,val,25,Squash___Powdery_mildew,1.000000,1.000000,1.000000,275
7,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
7,val,27,Strawberry___healthy,1.000000,1.000000,1.000000,68
7,val,28,Tomato___Bacterial_spot,0.963415,0.990596,0.976816,319
7,val,29,Tomato___Early_blight,0.984000,0.820000,0.894545,150
7,val,30,Tomato___Late_blight,0.985612,0.961404,0.973357,285
7,val,31,Tomato___Leaf_Mold,0.965278,0.972028,0.968641,143
7,val,32,Tomato___Septoria_leaf_spot,0.968750,0.932331,0.950192,266
7,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.918519,0.988048,0.952015,251
7,val,34,Tomato___Target_Spot,0.888889,0.947867,0.917431,211
7,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.000000,0.982587,0.991217,804
7,val,36,Tomato___Tomato_mosaic_virus,0.982143,0.982143,0.982143,56
7,val,37,Tomato___healthy,0.948000,0.995798,0.971311,238
8,val,0,Apple___Apple_scab,0.989130,0.957895,0.973262,95
8,val,1,Apple___Black_rot,0.989362,1.000000,0.994652,93
8,val,2,Apple___Cedar_apple_rust,1.000000,1.000000,1.000000,41
8,val,3,Apple___healthy,0.991903,0.995935,0.993915,246
8,val,4,Blueberry___healthy,1.000000,1.000000,1.000000,225
8,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.987342,0.993631,158
8,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
8,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.868421,0.857143,0.862745,77
8,val,8,Corn_(maize)___Common_rust_,1.000000,1.000000,1.000000,179
8,val,9,Corn_(maize)___Northern_Leaf_Blight,0.925676,0.925676,0.925676,148
8,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
8,val,11,Grape___Black_rot,0.983240,0.994350,0.988764,177
8,val,12,Grape___Esca_(Black_Measles),0.995146,0.985577,0.990338,208
8,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
8,val,14,Grape___healthy,1.000000,1.000000,1.000000,64
8,val,15,Orange___Haunglongbing_(Citrus_greening),0.998791,1.000000,0.999395,826
8,val,16,Peach___Bacterial_spot,0.991354,1.000000,0.995658,344
8,val,17,Peach___healthy,1.000000,0.981481,0.990654,54
8,val,18,"Pepper,_bell___Bacterial_spot",0.993151,0.973154,0.983051,149
8,val,19,"Pepper,_bell___healthy",0.986667,1.000000,0.993289,222
8,val,20,Potato___Early_blight,0.986755,0.993333,0.990033,150
8,val,21,Potato___Late_blight,0.972973,0.960000,0.966443,150
8,val,22,Potato___healthy,0.950000,0.826087,0.883721,23
8,val,23,Raspberry___healthy,1.000000,1.000000,1.000000,56
8,val,24,Soybean___healthy,0.997386,1.000000,0.998691,763
8,val,25,Squash___Powdery_mildew,1.000000,1.000000,1.000000,275
8,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
8,val,27,Strawberry___healthy,1.000000,1.000000,1.000000,68
8,val,28,Tomato___Bacterial_spot,0.954955,0.996865,0.975460,319
8,val,29,Tomato___Early_blight,0.991597,0.786667,0.877323,150
8,val,30,Tomato___Late_blight,0.959322,0.992982,0.975862,285
8,val,31,Tomato___Leaf_Mold,0.972414,0.986014,0.979167,143
8,val,32,Tomato___Septoria_leaf_spot,0.984436,0.951128,0.967495,266
8,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.905797,0.996016,0.948767,251
8,val,34,Tomato___Target_Spot,0.954082,0.886256,0.918919,211
8,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.000000,0.983831,0.991850,804
8,val,36,Tomato___Tomato_mosaic_virus,0.949153,1.000000,0.973913,56
8,val,37,Tomato___healthy,0.937008,1.000000,0.967480,238
9,val,0,Apple___Apple_scab,1.000000,0.957895,0.978495,95
9,val,1,Apple___Black_rot,0.989362,1.000000,0.994652,93
9,val,2,Apple___Cedar_apple_rust,1.000000,1.000000,1.000000,41
9,val,3,Apple___healthy,0.991870,0.991870,0.991870,246
9,val,4,Blueberry___healthy,1.000000,1.000000,1.000000,225
9,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.993671,0.996825,158
9,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
9,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.896104,0.896104,0.896104,77
9,val,8,Corn_(maize)___Common_rust_,1.000000,1.000000,1.000000,179
9,val,9,Corn_(maize)___Northern_Leaf_Blight,0.945578,0.939189,0.942373,148
9,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
9,val,11,Grape___Black_rot,1.000000,0.994350,0.997167,177
9,val,12,Grape___Esca_(Black_Measles),0.995215,1.000000,0.997602,208
9,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
9,val,14,Grape___healthy,1.000000,1.000000,1.000000,64
9,val,15,Orange___Haunglongbing_(Citrus_greening),1.000000,1.000000,1.000000,826
9,val,16,Peach___Bacterial_spot,0.994220,1.000000,0.997101,344
9,val,17,Peach___healthy,1.000000,1.000000,1.000000,54
9,val,18,"Pepper,_bell___Bacterial_spot",1.000000,0.979866,0.989831,149
9,val,19,"Pepper,_bell___healthy",0.991071,1.000000,0.995516,222
9,val,20,Potato___Early_blight,0.993243,0.980000,0.986577,150
9,val,21,Potato___Late_blight,0.960000,0.960000,0.960000,150
9,val,22,Potato___healthy,0.952381,0.869565,0.909091,23
9,val,23,Raspberry___healthy,1.000000,1.000000,1.000000,56
9,val,24,Soybean___healthy,0.998691,1.000000,0.999345,763
9,val,25,Squash___Powdery_mildew,1.000000,1.000000,1.000000,275
9,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
9,val,27,Strawberry___healthy,1.000000,1.000000,1.000000,68
9,val,28,Tomato___Bacterial_spot,0.969419,0.993730,0.981424,319
9,val,29,Tomato___Early_blight,0.991803,0.806667,0.889706,150
9,val,30,Tomato___Late_blight,0.956229,0.996491,0.975945,285
9,val,31,Tomato___Leaf_Mold,0.985915,0.979021,0.982456,143
9,val,32,Tomato___Septoria_leaf_spot,0.980843,0.962406,0.971537,266
9,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.953488,0.980080,0.966601,251
9,val,34,Tomato___Target_Spot,0.898230,0.962085,0.929062,211
9,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.998742,0.987562,0.993121,804
9,val,36,Tomato___Tomato_mosaic_virus,0.982456,1.000000,0.991150,56
9,val,37,Tomato___healthy,0.971311,0.995798,0.983402,238
10,val,0,Apple___Apple_scab,0.989362,0.978947,0.984127,95
10,val,1,Apple___Black_rot,0.989362,1.000000,0.994652,93
10,val,2,Apple___Cedar_apple_rust,1.000000,1.000000,1.000000,41
10,val,3,Apple___healthy,1.000000,0.995935,0.997963,246
10,val,4,Blueberry___healthy,1.000000,1.000000,1.000000,225
10,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.993671,0.996825,158
10,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
10,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.867470,0.935065,0.900000,77
10,val,8,Corn_(maize)___Common_rust_,1.000000,1.000000,1.000000,179
10,val,9,Corn_(maize)___Northern_Leaf_Blight,0.964539,0.918919,0.941176,148
10,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
10,val,11,Grape___Black_rot,1.000000,0.994350,0.997167,177
10,val,12,Grape___Esca_(Black_Measles),0.995215,1.000000,0.997602,208
10,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
10,val,14,Grape___healthy,1.000000,1.000000,1.000000,64
10,val,15,Orange___Haunglongbing_(Citrus_greening),1.000000,1.000000,1.000000,826
10,val,16,Peach___Bacterial_spot,0.994220,1.000000,0.997101,344
10,val,17,Peach___healthy,1.000000,1.000000,1.000000,54
10,val,18,"Pepper,_bell___Bacterial_spot",1.000000,0.986577,0.993243,149
